issue_year,avg_roi,default_rate,total_funded,loan_count
2007,0.08349121619891303,0.19047619047619047,329450.0,42
2008,0.06470612710375484,0.14893617021276595,2019275.0,235
2009,0.09797273073362503,0.1151685393258427,6901950.0,712
2010,0.10909912988391335,0.13413932066781808,17910025.0,1737
2011,0.10675683334320137,0.1492771841609051,37603550.0,3182
2012,0.1074461597417966,0.16706175920149718,107811425.0,8015
2013,0.13250961739073824,0.1559876049580168,293946250.0,20008
2014,0.09165376716165499,0.18301641524834486,481527300.0,33079
2015,0.04532034143853856,0.20070977204005142,808466375.0,55229
2016,-0.006981245685454972,0.23122309041620157,633083175.0,43897
2017,-0.07629279146281749,0.23728347539180644,362692500.0,25459
2018,-0.08205773237325194,0.15014872099940513,125090850.0,8405
